姓名,組織,性別,手機,上線夥伴,葷素,課程座位,吃飯座位,房間,分組活動
王永慶,組織B,男,911123102,張忠謀,葷,,,,
張忠謀,組織B,男,911123103,郭台銘,葷,,,,
郭台銘,組織B,男,911123104,李彥秀,葷,,,,
李彥秀,組織B,女,911123105,林郁方,葷,,,,
林郁方,組織B,男,911123106,費鴻泰,葷,,,,
費鴻泰,組織B,男,911123107,賴士葆,素,,,,
賴士葆,組織B,男,911123108,江啟臣,葷,,,,
江啟臣,組織B,男,911123109,馬文君,葷,,,,
馬文君,組織B,女,911123110,陳雪生,葷,,,,
陳雪生,組織B,男,911123111,林德福,葷,,,,
林德福,組織B,男,911123112,吳育昇,葷,,,,
吳育昇,組織B,男,911123113,丁守中,素,,,,
丁守中,組織B,男,911123114,羅明才,葷,,,,
羅明才,組織B,男,911123115,李鴻鈞,葷,,,,
李鴻鈞,組織B,男,911123116,陳超明,葷,,,,
陳超明,組織B,男,911123117,徐欣瑩,葷,,,,
徐欣瑩,組織B,女,911123118,林為洲,葷,,,,
林為洲,組織B,男,911123119,柯建銘,葷,,,,
柯建銘,組織B,男,911123120,王定宇,素,,,,
柯建銘,組織B,男,911123120,王定宇,素,,,,
王定宇,組織C,男,922123001,陳宜君,葷,,,,
何欣純,組織C,女,922123002,林建宏,葷,,,,
吳思瑤,組織C,女,922123003,王雅婷,葷,,,,
林俊憲,組織C,男,922123005,李秀英,葷,,,,
黃國書,組織C,男,922123006,劉宗翰,葷,,,,
陳亭妃,組織C,女,922123007,吳佩珊,素,,,,
張廖萬堅,組織C,男,922123008,黃振宇,葷,,,,
莊競程,組織C,男,922123009,楊佳蓉,葷,,,,
何志偉,組織C,男,922123010,許文斌,葷,,,,
吳琪銘,組織C,男,922123011,何美惠,葷,,,,
趙天麟,組織C,男,922123012,謝宗穎,葷,,,,
邱議瑩,組織C,女,922123013,葉麗華,素,,,,
管碧玲,組織C,女,922123014,徐志明,葷,,,,
蘇巧慧,組織C,女,922123015,鄭雅文,葷,,,,
蔡適應,組織C,男,922123016,蔡政翰,葷,,,,
陳瑩,組織C,女,922123017,歐陽秀蓮,葷,,,,
鄭運鵬,組織C,男,922123018,潘孟哲,葷,,,,
邱泰源,組織C,男,922123019,游雅琪,素,,,,
吳玉琴,組織C,女,922123020,曹建國,葷,,,,
陳靜敏,組織C,女,922123021,戴麗卿,葷,,,,
余宛如,組織C,女,922123022,廖家豪,葷,,,,
周春米,組織C,女,922123023,蕭淑珍,葷,,,,
鍾佳濱,組織C,男,922123024,賴志偉,葷,,,,
楊曜,組織C,男,922123025,洪雅雯,素,,,,
劉建國,組織C,男,922123026,楊國偉,葷,,,,
蘇治芬,組織C,女,922123027,邱美玲,葷,,,,
陳秀寶,組織C,女,922123028,羅世昌,葷,,,,
蔡易餘,組織C,男,922123029,蘇怡君,葷,,,,
王美惠,組織C,女,922123030,范國華,葷,,,,
賴惠員,組織C,女,922123031,趙婉如,素,,,,
郭國文,組織C,男,922123032,錢志鵬,葷,,,,
林楚茵,組織C,女,922123033,孫秀蘭,葷,,,,
邱臣遠,組織C,男,922123034,周大偉,葷,,,,
高嘉瑜,組織C,女,922123035,吳佳芳,葷,,,,
賴品妤,組織C,女,922123036,鄭明宏,葷,,,,
鄭正鈐,組織C,男,922123037,王麗雲,素,,,,
林奕華,組織C,女,922123038,陳俊傑,葷,,,,
李德維,組織C,男,922123039,林怡婷,葷,,,,
吳斯懷,組織C,男,922123040,張國隆,葷,,,,
游毓蘭,組織C,女,922123041,李素卿,葷,,,,
陳椒華,組織C,女,922123042,劉正義,葷,,,,
孔文吉,組織C,男,922123043,吳婉君,素,,,,
廖國棟,組織C,男,922123044,黃建中,葷,,,,
傅崐萁,組織C,男,922123045,楊淑霞,葷,,,,
林思銘,組織C,男,922123046,許國賓,葷,,,,
徐志榮,組織C,男,922123047,何雅芳,葷,,,,
林為洲,組織C,男,922123048,謝明德,葷,,,,
謝衣鳳,組織C,女,922123049,葉婉如,素,,,,
張育美,組織C,女,922123050,徐志強,葷,,,,
許淑華,組織C,女,922123051,鄭小玲,葷,,,,
溫玉霞,組織C,女,922123052,蔡宗翰,葷,,,,
陳歐珀,組織C,男,922123053,歐陽麗華,葷,,,,
蔡其昌,組織C,男,922123054,潘志偉,葷,,,,
陳素月,組織C,女,922123055,游美華,葷,,,,
黃秀芳,組織C,女,922123056,曹志豪,素,,,,
陳秀卿,組織C,女,922123057,戴淑慧,葷,,,,
黃仁,組織C,男,922123058,廖正雄,葷,,,,
何欣純,組織C,女,922123059,蕭雅文,葷,,,,
羅致政,組織C,男,922123060,賴家豪,葷,,,,
林淑芬,組織C,女,922123061,洪秀珍,葷,,,,
余天,組織C,男,922123062,楊明宗,素,,,,
張宏陸,組織C,男,922123063,邱怡君,葷,,,,
羅致政,組織C,男,922123064,羅大為,葷,,,,
吳秉叡,組織C,男,922123065,蘇美玲,葷,,,,
蘇巧慧,組織C,女,922123066,范國棟,葷,,,,
葉元之,組織C,男,922123067,趙麗卿,葷,,,,
洪孟楷,組織C,男,922123068,錢政翰,素,,,,
吳怡玎,組織C,女,922123069,孫秀蓮,葷,,,,
邱國正,組織C,男,922123070,周國雄,葷,,,,
嚴德發,組織C,男,922123071,吳佳琪,葷,,,,
馮世寬,組織C,男,922123072,鄭明哲,葷,,,,
李喜明,組織C,男,922123073,王麗華,葷,,,,
黃曙光,組織C,男,922123074,陳俊彥,素,,,,
劉志斌,組織C,男,922123075,林怡如,葷,,,,
張哲平,組織C,男,922123076,張國華,葷,,,,
熊厚基,組織C,男,922123077,李素蘭,葷,,,,
鄭榮豐,組織C,男,922123078,劉正峰,葷,,,,
楊海明,組織C,男,922123079,吳美智,葷,,,,
王信龍,組織C,男,922123080,黃建華,素,,,,
徐衍璞,組織C,男,922123081,楊雅惠,葷,,,,
陳寶餘,組織C,男,922123082,許國隆,葷,,,,
邱國正,組織C,男,922123083,何雅玲,葷,,,,
梅家樹,組織C,男,922123084,謝文彬,葷,,,,
黃志明,組織C,男,922123085,葉美雲,葷,,,,
李廷盛,組織C,男,922123086,徐志華,素,,,,
陳文凡,組織C,男,922123087,鄭麗君,葷,,,,
曹進平,組織C,男,922123088,蔡宗霖,葷,,,,
黃銘仁,組織C,男,922123089,歐陽麗美,葷,,,,
施坤吾,組織C,男,922123090,潘正義,葷,,,,
周玉山,組織C,男,922123091,游美惠,葷,,,,
張超賢,組織C,男,922123092,曹志明,素,,,,
萬文卓,組織C,男,922123093,戴淑娟,葷,,,,
楊安,組織C,男,922123094,廖家華,葷,,,,
洪鴻鈞,組織C,男,922123095,蕭雅惠,葷,,,,
李榮華,組織C,男,922123096,賴宏達,葷,,,,
王世堅,組織C,男,922123097,洪秀英,葷,,,,
徐巧芯,組織C,女,922123098,楊明道,素,,,,
陳雪生,組織C,男,922123099,邱怡琳,葷,,,,
林德福,組織C,男,922123100,羅文政,葷,,,,
李貴敏,組織C,女,922123101,王定宇,葷,,,,
曾銘宗,組織C,男,922123102,何欣純,葷,,,,
費鴻泰,組織C,男,922123103,吳思瑤,葷,,,,
賴士葆,組織C,男,922123104,林俊憲,素,,,,
江啟臣,組織C,男,922123105,陳素月,葷,,,,
楊瓊瓔,組織C,女,922123106,黃秀芳,葷,,,,
洪慈庸,組織C,女,922123107,陳秀卿,葷,,,,
高金素梅,組織C,女,922123108,黃仁,葷,,,,
陳玉珍,組織C,女,922123109,羅致政,葷,,,,
林奕華,組織C,女,922123110,林淑芬,素,,,,
蔣萬安,組織C,男,922123111,余天,葷,,,,
李彥秀,組織C,女,922123112,張宏陸,葷,,,,
林郁方,組織C,男,922123113,吳秉叡,葷,,,,
羅明才,組織C,男,922123114,葉元之,葷,,,,
林德福,組織C,男,922123115,洪孟楷,葷,,,,
陳雪生,組織C,男,922123116,吳怡玎,葷,,,,
鄭天財,組織C,男,922123117,邱國正,素,,,,
廖國棟,組織C,男,922123118,嚴德發,葷,,,,
孔文吉,組織C,男,922123119,馮世寬,葷,,,,
傅崐萁,組織C,男,922123120,李喜明,葷,,,,
王定宇,組織C,男,922123121,黃曙光,葷,,,,
何欣純,組織C,女,922123122,劉志斌,葷,,,,
吳思瑤,組織C,女,922123123,張哲平,素,,,,
林俊憲,組織C,男,922123124,熊厚基,葷,,,,
陳亭妃,組織C,女,922123125,鄭榮豐,葷,,,,
莊競程,組織C,男,922123126,楊海明,葷,,,,
何志偉,組織C,男,922123127,王信龍,葷,,,,
吳琪銘,組織C,男,922123128,徐衍璞,葷,,,,
趙天麟,組織C,男,922123129,陳寶餘,葷,,,,
邱議瑩,組織C,女,922123130,梅家樹,素,,,,
管碧玲,組織C,女,922123131,黃志明,葷,,,,
蔡適應,組織C,男,922123132,李廷盛,葷,,,,
陳瑩,組織C,女,922123133,陳文凡,葷,,,,
鄭運鵬,組織C,男,922123134,曹進平,葷,,,,
邱泰源,組織C,男,922123135,黃銘仁,葷,,,,
吳玉琴,組織C,女,922123136,施坤吾,素,,,,
陳靜敏,組織C,女,922123137,周玉山,葷,,,,
周春米,組織C,女,922123138,張超賢,葷,,,,
鍾佳濱,組織C,男,922123139,萬文卓,葷,,,,
楊曜,組織C,男,922123140,楊安,葷,,,,
劉建國,組織C,男,922123141,洪鴻鈞,葷,,,,
蘇治芬,組織C,女,922123142,李榮華,素,,,,
陳秀寶,組織C,女,922123143,王世堅,葷,,,,
蔡易餘,組織C,男,922123144,徐巧芯,葷,,,,
王美惠,組織C,女,922123145,吳思瑤,葷,,,,
賴惠員,組織C,女,922123146,林俊憲,葷,,,,
郭國文,組織C,男,922123147,陳亭妃,葷,,,,
林楚茵,組織C,女,922123148,莊競程,素,,,,
邱臣遠,組織C,男,922123149,何志偉,葷,,,,
高嘉瑜,組織C,女,922123150,吳琪銘,葷,,,,
