姓名,性別,手機,上線夥伴,組織,葷素,工作人員
陳歐珀,男,922123053,大C,組織C,葷,
蔡其昌,男,922123054,大C,組織C,葷,
陳素月,女,922123055,大C,組織C,葷,
黃秀芳,女,922123056,大C,組織C,素,
陳秀卿,女,922123057,大C,組織C,葷,
黃仁,男,922123058,大C,組織C,葷,
何欣純,女,922123059,大C,組織C,葷,
羅致政,男,922123060,大C,組織C,葷,
林淑芬,女,922123061,大C,組織C,葷,
余天,男,922123062,大C,組織C,素,
張宏陸,男,922123063,大C,組織C,葷,
羅致政,男,922123064,大C,組織C,葷,
吳秉叡,男,922123065,大C,組織C,葷,
蘇巧慧,女,922123066,官大哥,組織C,葷,
葉元之,男,922123067,官大哥,組織C,葷,
洪孟楷,男,922123068,官大哥,組織C,素,
吳怡玎,女,922123069,官大哥,組織C,葷,
邱國正,男,922123070,官大哥,組織C,葷,
嚴德發,男,922123071,官大哥,組織C,葷,
馮世寬,男,922123072,官大哥,組織C,葷,
李喜明,男,922123073,官大哥,組織C,葷,
黃曙光,男,922123074,官大哥,組織C,素,
劉志斌,男,922123075,官大哥,組織C,葷,
張哲平,男,922123076,官大哥,組織C,葷,
熊厚基,男,922123077,官大哥,組織C,葷,
鄭榮豐,男,922123078,官大哥,組織C,葷,
楊海明,男,922123079,官大哥,組織C,葷,
王信龍,男,922123080,官大哥,組織C,素,
徐衍璞,男,922123081,官大哥,組織C,葷,
陳寶餘,男,922123082,官大哥,組織C,葷,
邱國正,男,922123083,官大哥,組織C,葷,
梅家樹,男,922123084,官大哥,組織C,葷,
黃志明,男,922123085,官大哥,組織C,葷,
李廷盛,男,922123086,官大哥,組織C,素,
陳文凡,男,922123087,官大哥,組織C,葷,
曹進平,男,922123088,官大哥,組織C,葷,
黃銘仁,男,922123089,官大哥,組織C,葷,
施坤吾,男,922123090,官大哥,組織C,葷,
周玉山,男,922123091,官大哥,組織C,葷,
張超賢,男,922123092,官大哥,組織C,素,
萬文卓,男,922123093,官大哥,組織C,葷,
楊安,男,922123094,官大哥,組織C,葷,
洪鴻鈞,男,922123095,官大哥,組織C,葷,
李榮華,男,922123096,官大哥,組織C,葷,
王世堅,男,922123097,官大哥,組織C,葷,
徐巧芯,女,922123098,官大哥,組織C,素,
陳雪生,男,922123099,官大哥,組織C,葷,
林德福,男,922123100,官大哥,組織C,葷,
李貴敏,女,922123101,官小哥,組織C,葷,
曾銘宗,男,922123102,官小哥,組織C,葷,
費鴻泰,男,922123103,官小哥,組織C,葷,
賴士葆,男,922123104,官小哥,組織C,素,場務
江啟臣,男,922123105,官小哥,組織C,葷,場務
楊瓊瓔,女,922123106,官小哥,組織C,葷,
洪慈庸,女,922123107,官小哥,組織C,葷,場務
高金素梅,女,922123108,官小哥,組織C,葷,
陳玉珍,女,922123109,官小哥,組織C,葷,
林奕華,女,922123110,官小哥,組織C,素,
蔣萬安,男,922123111,官小哥,組織C,葷,
李彥秀,女,922123112,官小哥,組織C,葷,
林郁方,男,922123113,官小哥,組織C,葷,
羅明才,男,922123114,官小哥,組織C,葷,文書
林德福,男,922123115,官小哥,組織C,葷,
陳雪生,男,922123116,官小哥,組織C,葷,
鄭天財,男,922123117,官小哥,組織C,素,
廖國棟,男,922123118,官小哥,組織C,葷,
孔文吉,男,922123119,官小哥,組織C,葷,
傅崐萁,男,922123120,官小哥,組織C,葷,
王定宇,男,922123121,官小哥,組織C,葷,
何欣純,女,922123122,官小哥,組織C,葷,
吳思瑤,女,922123123,官小哥,組織C,素,
林俊憲,男,922123124,官小哥,組織C,葷,
陳亭妃,女,922123125,官小哥,組織C,葷,
莊競程,男,922123126,官小哥,組織C,葷,報到組
何志偉,男,922123127,官小哥,組織C,葷,報到組
吳琪銘,男,922123128,官小哥,組織C,葷,報到組
趙天麟,男,922123129,官小哥,組織C,葷,報到組
邱議瑩,女,922123130,官小哥,組織C,素,報到組
管碧玲,女,922123131,官小哥,組織C,葷,報到組
蔡適應,男,922123132,官小哥,組織C,葷,報到組
陳瑩,女,922123133,官小哥,組織C,葷,報到組
鄭運鵬,男,922123134,官小哥,組織C,葷,
邱泰源,男,922123135,官小哥,組織C,葷,
吳玉琴,女,922123136,官小哥,組織C,素,
陳靜敏,女,922123137,官小哥,組織C,葷,
周春米,女,922123138,官小哥,組織C,葷,
鍾佳濱,男,922123139,官小哥,組織C,葷,
楊曜,男,922123140,官小哥,組織C,葷,講師:市場評估
劉建國,男,922123141,官小哥,組織C,葷,
蘇治芬,女,922123142,官小哥,組織C,素,
陳秀寶,女,922123143,官小哥,組織C,葷,
蔡易餘,男,922123144,官小哥,組織C,葷,
王美惠,女,922123145,官小哥,組織C,葷,
賴惠員,女,922123146,官小哥,組織C,葷,
郭國文,男,922123147,官小哥,組織C,葷,
林楚茵,女,922123148,官小哥,組織C,素,
邱臣遠,男,922123149,官小哥,組織C,葷,
高嘉瑜,女,922123150,官小哥,組織C,葷,
