姓名,性別,手機,上線夥伴,組織,葷素,工作人員
連戰,男,911123069,翡珊,組織B,葷,
呂秀蓮,女,911123070,翡珊,組織B,葷,
吳敦義,男,911123071,翡珊,組織B,素,
謝長廷,男,911123072,翡珊,組織B,葷,
陳建仁,男,911123073,翡珊,組織B,葷,
張善政,男,911123074,翡珊,組織B,葷,
毛治國,男,911123075,翡珊,組織B,葷,
江宜樺,男,911123076,翡珊,組織B,葷,
陳冲,男,911123077,翡珊,組織B,素,
劉兆玄,男,911123078,翡珊,組織B,葷,
張俊雄,男,911123079,莉雯,組織B,葷,
蘇嘉全,男,911123080,莉雯,組織B,葷,
王建煊,男,911123081,莉雯,組織B,葷,
姚嘉文,男,911123082,莉雯,組織B,葷,
翁岳生,男,911123083,莉雯,組織B,素,
賴英照,男,911123084,莉雯,組織B,葷,
施啟揚,男,911123085,莉雯,組織B,葷,
林洋港,男,911123086,莉雯,組織B,葷,
黃石城,男,911123087,莉雯,組織B,葷,
許水德,男,911123088,莉雯,組織B,葷,
蘇南成,男,911123089,莉雯,組織B,素,
吳伯雄,男,911123090,莉雯,組織B,葷,
林豐正,男,911123091,莉雯,組織B,葷,
曾永權,男,911123092,莉雯,組織B,葷,
詹春柏,男,911123093,莉雯,組織B,葷,
廖了以,男,911123094,莉雯,組織B,葷,
林中森,男,911123095,莉雯,組織B,素,
黃敏惠,女,911123096,莉雯,組織B,葷,
胡志強,男,911123097,莉雯,組織B,葷,
許添財,男,911123098,莉雯,組織B,葷,
張博雅,女,911123099,莉雯,組織B,葷,
陳菊,女,911123100,莉雯,組織B,葷,
顏清標,男,911123101,依潔,組織B,素,
王永慶,男,911123102,依潔,組織B,葷,
張忠謀,男,911123103,依潔,組織B,葷,
郭台銘,男,911123104,依潔,組織B,葷,
李彥秀,女,911123105,依潔,組織B,葷,
林郁方,男,911123106,依潔,組織B,葷,
費鴻泰,男,911123107,依潔,組織B,素,
賴士葆,男,911123108,依潔,組織B,葷,
江啟臣,男,911123109,依潔,組織B,葷,
馬文君,女,911123110,依潔,組織B,葷,
陳雪生,男,911123111,依潔,組織B,葷,
林德福,男,911123112,依潔,組織B,葷,
吳育昇,男,911123113,依潔,組織B,素,
丁守中,男,911123114,依潔,組織B,葷,
羅明才,男,911123115,依潔,組織B,葷,
李鴻鈞,男,911123116,依潔,組織B,葷,
陳超明,男,911123117,依潔,組織B,葷,
徐欣瑩,女,911123118,依潔,組織B,葷,
林為洲,男,911123119,依潔,組織B,葷,
柯建銘,男,911123120,依潔,組織B,素,
